,mol_3.sdf,mol_5.sdf,mol_4.sdf,mol_10.sdf,mol_6.sdf,mol_9.sdf,mol_1.sdf,mol_7.sdf,mol_2.sdf,mol_8.sdf,cluster
mol_3.sdf,0.0,5.932960545405079,6.092390352590133,6.276805510501871,6.018593111489317,6.136660122439023,3.4398830769858058,1.527601687831834,3.112797991089902,4.048806434205847,1
mol_5.sdf,5.932960545405079,0.0,1.7971798857283785,3.31782342055752,1.1646079275876493,3.8751067565939397,5.8316726874313956,6.335195531052428,5.81180983716203,5.263034497796875,1
mol_4.sdf,6.092390352590133,1.7971798857283785,0.0,3.124411351225486,2.2536457685270768,3.247786707898165,5.9290947770296265,6.513863564864302,5.846114076176299,5.703107676229395,1
mol_10.sdf,6.276805510501871,3.31782342055752,3.124411351225486,0.0,3.6065492683450207,1.7374802756674197,6.228748938055966,6.643232214065679,6.211223805874867,5.554296298812298,1
mol_6.sdf,6.018593111489317,1.1646079275876493,2.2536457685270768,3.6065492683450207,0.0,4.017060513194526,5.838063231215183,6.270302341859867,5.860897908312912,5.180458417617756,1
mol_9.sdf,6.136660122439023,3.8751067565939397,3.247786707898165,1.7374802756674197,4.017060513194526,0.0,6.570951221728352,6.476972913715172,6.519733471674027,6.164756645643037,1
mol_1.sdf,3.4398830769858058,5.8316726874313956,5.9290947770296265,6.228748938055966,5.838063231215183,6.570951221728352,0.0,3.4399440765803155,1.1363376478846414,2.232800082482382,1
mol_7.sdf,1.527601687831834,6.335195531052428,6.513863564864302,6.643232214065679,6.270302341859867,6.476972913715172,3.4399440765803155,0.0,3.374031873491021,3.919034314513377,1
mol_2.sdf,3.112797991089902,5.81180983716203,5.846114076176299,6.211223805874867,5.860897908312912,6.519733471674027,1.1363376478846414,3.374031873491021,0.0,2.3594663503286775,1
mol_8.sdf,4.048806434205847,5.263034497796875,5.703107676229395,5.554296298812298,5.180458417617756,6.164756645643037,2.232800082482382,3.919034314513377,2.3594663503286775,0.0,1
